district,typical_soil_pH_range,mean_pH_estimate,predominant_soil_type,data_source
Bagalkote,7.2-8.8,8.0,Black cotton (Vertisols) / Red lateritic,Soil Fertility Atlas (ICRISAT 2011); Karnataka soil distribution studies
Ballari,7.3-8.9,8.1,Red and black soils,Soil Fertility Atlas (ICRISAT 2011)
Belagavi,6.0-8.0,7.2,Red loamy / Black soils in pockets,Karnataka soil distribution studies
Bengaluru Urban,6.0-7.5,6.6,Red loam / Urban fill soils,State agriculture reports
Bengaluru Rural,6.0-7.8,6.8,Red loam / Black soils in low areas,State agriculture reports
Bengaluru South,6.0-7.8,6.8,Red loam / Lateritic pockets,State agriculture reports
Bidar,7.2-8.5,7.9,Black cotton / Shallow red soils,Soil Fertility Atlas (ICRISAT 2011)
Chamarajanagar,5.5-7.5,6.4,Red loam / Lateritic,Karnataka soil distribution studies
Chikkaballapura,6.0-7.6,6.8,Red sandy loam,State agriculture reports
Chikkamagaluru,5.0-6.5,5.8,Lateritic/forest soils (acidic),Soil Fertility Atlas (ICRISAT 2011)
Chitradurga,6.2-8.2,7.2,Red sandy / Black in lowlands,Soil Fertility Atlas (ICRISAT 2011)
Dakshina Kannada,4.8-6.5,5.6,Lateritic (acidic) coastal soils,Karnataka soil distribution studies
Davanagere,6.2-8.0,7.1,Red and black soils,Soil Fertility Atlas (ICRISAT 2011)
Dharwad,6.5-8.5,7.6,Black cotton / Red loam transition,Soil Fertility Atlas (ICRISAT 2011)
Gadag,6.8-8.6,7.7,Black cotton / Shallow soils,Karnataka soil distribution studies
Hassan,5.4-7.6,6.5,Red loam / Lateritic in western parts,Soil Fertility Atlas (ICRISAT 2011)
Haveri,6.5-8.2,7.4,Black cotton / Red soils,Karnataka soil distribution studies
Kalaburagi,7.0-8.8,7.9,Black cotton / Calcareous soils,Soil Fertility Atlas (ICRISAT 2011)
Kodagu,4.5-6.0,5.3,Forest hills / Acidic lateritic,Karnataka soil distribution studies
Kolar,6.0-8.0,7.0,Red loam / Sandy loam,State agriculture reports
Koppal,7.0-8.6,7.8,Black cotton / Shallow red soils,Soil Fertility Atlas (ICRISAT 2011)
Mandya,6.0-8.0,7.0,Alluvial / Black soils along Cauvery,District agriculture reports
Mysuru,5.8-7.8,6.8,Red loam / Alluvial in valleys,Soil Fertility Atlas (ICRISAT 2011)
Raichur,7.4-9.0,8.2,Saline/alkaline black soils in low-lying plains,Soil Fertility Atlas (ICRISAT 2011)
Ramanagara,6.0-7.8,6.9,Red sandy loam,State agriculture reports
Shivamogga,5.0-7.2,6.0,Lateritic / Red loam (western ghats fringe),Soil Fertility Atlas (ICRISAT 2011)
Tumakuru,6.2-8.0,7.1,Red loam / Black in depressions,Karnataka soil distribution studies
Udupi,5.0-6.6,5.8,Lateritic coastal soils (acidic),Karnataka soil distribution studies
Uttara Kannada,4.6-6.4,5.5,Lateritic / Forest soils (acidic),Soil Fertility Atlas (ICRISAT 2011)
Vijayanagara,7.0-8.6,7.8,Black cotton / Red soils,District formation reports & soil studies
