Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2020/01/31,GOA,SOUTH GOA,0,143.22,0,14.10006985
2020/01/31,GOA,NORTH GOA,0,103.34,0,11.82157097
2020/01/30,GOA,SOUTH GOA,0,143.64,0,14.14143639
2020/01/30,GOA,NORTH GOA,0,103.73,0,11.86604935
2020/01/29,GOA,SOUTH GOA,0,144.17,0,14.19360964
2020/01/29,GOA,NORTH GOA,0,104.16,0,11.91599403
2020/01/28,GOA,SOUTH GOA,0,145.11,0,14.28633413
2020/01/28,GOA,NORTH GOA,0,105.31,0,12.04701411
2020/01/27,GOA,SOUTH GOA,0,144.92,0,14.26720987
2020/01/27,GOA,NORTH GOA,0,104.88,0,11.99822277
2020/01/26,GOA,SOUTH GOA,0,145.55,0,14.32974531
2020/01/26,GOA,NORTH GOA,0,105.4,0,12.05795238
2020/01/25,GOA,SOUTH GOA,0,146.21,0,14.39437319
2020/01/25,GOA,NORTH GOA,0,106,0,12.12631001
2020/01/24,GOA,SOUTH GOA,0,146.88,0,14.46026684
2020/01/24,GOA,NORTH GOA,0,106.59,0,12.19331829
2020/01/23,GOA,SOUTH GOA,0,147.61,0,14.53245579
2020/01/23,GOA,NORTH GOA,0,107.26,0,12.26987275
2020/01/22,GOA,SOUTH GOA,0,148.08,0,14.57879571
2020/01/22,GOA,NORTH GOA,0,107.52,0,12.30026934
2020/01/21,GOA,SOUTH GOA,0,148.8,0,14.64968548
2020/01/21,GOA,NORTH GOA,0,108.29,0,12.3882526
2020/01/20,GOA,SOUTH GOA,0,149.61,0,14.72935785
2020/01/20,GOA,NORTH GOA,0,109.01,0,12.47016057
2020/01/19,GOA,SOUTH GOA,0,150.17,0,14.78432423
2020/01/19,GOA,NORTH GOA,0,109.69,0,12.54856311
2020/01/18,GOA,SOUTH GOA,0,151.13,0,14.87866213
2020/01/18,GOA,NORTH GOA,0,110.57,0,12.64955817
2020/01/17,GOA,SOUTH GOA,0,151.91,0,14.95567228
2020/01/17,GOA,NORTH GOA,0,111.08,0,12.70703375
2020/01/16,GOA,SOUTH GOA,0,152.96,0,15.05887505
2020/01/16,GOA,NORTH GOA,0,112.07,0,12.82066254
2020/01/15,GOA,SOUTH GOA,0,153.98,0,15.15959899
2020/01/15,GOA,NORTH GOA,0,112.97,0,12.92330879
2020/01/14,GOA,SOUTH GOA,0,155.49,0,15.30760917
2020/01/14,GOA,NORTH GOA,0,114.45,0,13.09251636
2020/01/13,GOA,SOUTH GOA,0,156.69,0,15.42567726
2020/01/13,GOA,NORTH GOA,0,115.48,0,13.21072481
2020/01/12,GOA,SOUTH GOA,0,157.23,0,15.47959476
2020/01/12,GOA,NORTH GOA,0,116.53,0,13.33139265
2020/01/11,GOA,SOUTH GOA,0,158.47,0,15.60084105
2020/01/11,GOA,NORTH GOA,0,117.31,0,13.42016909
2020/01/10,GOA,SOUTH GOA,0,159.88,0,15.73994138
2020/01/10,GOA,NORTH GOA,0,118.66,0,13.57511217
2020/01/09,GOA,SOUTH GOA,0,161.47,0,15.8970658
2020/01/09,GOA,NORTH GOA,0,120.09,0,13.73811496
2020/01/08,GOA,SOUTH GOA,0,162.99,0,16.04583867
2020/01/08,GOA,NORTH GOA,0,121.57,0,13.90724995
2020/01/07,GOA,SOUTH GOA,0,164.55,0,16.1993323
2020/01/07,GOA,NORTH GOA,0,123,0,14.07158613
2020/01/06,GOA,SOUTH GOA,0.45,152.51,3.83,15.01469306
2020/01/06,GOA,NORTH GOA,0.24,113.95,1.93,13.03580428
2020/01/05,GOA,SOUTH GOA,0.46,153.53,3.91,15.1145213
2020/01/05,GOA,NORTH GOA,0.25,115,2,13.15538695
2020/01/04,GOA,SOUTH GOA,0.47,154.91,4.01,15.25028253
2020/01/04,GOA,NORTH GOA,0.26,116.5,2.08,13.32768263
2020/01/03,GOA,SOUTH GOA,0.48,155.78,4.09,15.33644191
