Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2020/01/31,JHARKHAND,JAMTARA,0,148.64,0,16.20527739
2020/01/31,JHARKHAND,DHANBAD,0,177.53,0,16.36966681
2020/01/31,JHARKHAND,DUMKA,0,390.47,0,20.35334526
2020/01/31,JHARKHAND,GARHWA,0,430.54,0,20.60629099
2020/01/31,JHARKHAND,PASHCHIMI SINGHBHUM,0,1030.31,0,28.0209173
2020/01/31,JHARKHAND,RAMGARH,0,162.74,0,23.61377218
2020/01/31,JHARKHAND,CHATRA,0.04,492.65,0.3,25.77693867
2020/01/31,JHARKHAND,LOHARDAGA,0.09,186.59,0.49,24.47219989
2020/01/31,JHARKHAND,GODDA,0,224.83,0,19.72175971
2020/01/31,JHARKHAND,PALAMU,0,570.71,0,25.36702319
2020/01/31,JHARKHAND,RANCHI,0,650.17,0,25.87304239
2020/01/31,JHARKHAND,DEOGHAR,0,224,0,18.05286672
2020/01/31,JHARKHAND,PURBI SINGHBHUM,0,410.31,0,22.55867463
2020/01/31,JHARKHAND,SAHIBGANJ,0.2,228.49,1.64,20.45361337
2020/01/31,JHARKHAND,KODARMA,0.03,291.49,0.17,22.75878624
2020/01/31,JHARKHAND,LATEHAR,0.06,543.08,0.37,25.04825201
2020/01/31,JHARKHAND,SARAIKELA-KHARSAWAN,0,331.57,0,24.58357463
2020/01/31,JHARKHAND,BOKARO,0,309.29,0,21.72001574
2020/01/31,JHARKHAND,SIMDEGA,0,476.88,0,24.73397417
2020/01/31,JHARKHAND,PAKUR,0,316.83,0,34.2933969
2020/01/31,JHARKHAND,HAZARIBAGH,0.05,526.24,0.32,28.68897388
2020/01/31,JHARKHAND,GIRIDIH,0,645.85,0.01,25.33590362
2020/01/31,JHARKHAND,KHUNTI,0,387.72,0,28.11800487
2020/01/31,JHARKHAND,GUMLA,0.08,691.41,0.46,25.34673711
2020/01/30,JHARKHAND,JAMTARA,0,149.26,0,16.27315707
2020/01/30,JHARKHAND,DHANBAD,0,178.58,0,16.46700791
2020/01/30,JHARKHAND,DUMKA,0,392.88,0.02,20.47902715
2020/01/30,JHARKHAND,GARHWA,0,432.69,0,20.70931267
2020/01/30,JHARKHAND,PASHCHIMI SINGHBHUM,0,1035.32,0,28.15714461
2020/01/30,JHARKHAND,RAMGARH,0,163.64,0,23.74459988
2020/01/30,JHARKHAND,CHATRA,0.1,501.08,0.68,26.21787912
2020/01/30,JHARKHAND,LOHARDAGA,0.1,187.71,0.55,24.61834487
2020/01/30,JHARKHAND,GODDA,0,225.55,0,19.78486135
2020/01/30,JHARKHAND,PALAMU,0,574.02,0,25.51427031
2020/01/30,JHARKHAND,RANCHI,0,652.84,0,25.97929641
2020/01/30,JHARKHAND,DEOGHAR,0,224.97,0,18.13112918
2020/01/30,JHARKHAND,PURBI SINGHBHUM,0,413.39,0,22.72806091
2020/01/30,JHARKHAND,SAHIBGANJ,0.23,231.56,1.79,20.72886741
2020/01/30,JHARKHAND,KODARMA,0.03,293.78,0.21,22.93744766
2020/01/30,JHARKHAND,LATEHAR,0.06,546.77,0.41,25.2185469
2020/01/30,JHARKHAND,SARAIKELA-KHARSAWAN,0,332.98,0,24.68783938
2020/01/30,JHARKHAND,BOKARO,0,310.82,0,21.82733748
2020/01/30,JHARKHAND,SIMDEGA,0,479.45,0,24.86748238
2020/01/30,JHARKHAND,PAKUR,0,321.46,0.02,34.79447629
2020/01/30,JHARKHAND,HAZARIBAGH,0.06,532.11,0.39,29.00874606
2020/01/30,JHARKHAND,GIRIDIH,0,648.73,0.02,25.44881215
2020/01/30,JHARKHAND,KHUNTI,0,388.76,0,28.19360399
2020/01/30,JHARKHAND,GUMLA,0.09,695.14,0.52,25.48335843
2020/01/29,JHARKHAND,JAMTARA,0,149.93,0,16.34592215
2020/01/29,JHARKHAND,DHANBAD,0,179.89,0,16.58769671
2020/01/29,JHARKHAND,DUMKA,0.03,397.67,0.27,20.72869613
2020/01/29,JHARKHAND,GARHWA,0,435.09,0,20.82394413
2020/01/29,JHARKHAND,PASHCHIMI SINGHBHUM,0,1042.31,0,28.34734277
2020/01/29,JHARKHAND,RAMGARH,0,164.37,0,23.8507144
2020/01/29,JHARKHAND,CHATRA,0.33,523,2.28,27.36493158
2020/01/29,JHARKHAND,LOHARDAGA,0.11,189.24,0.63,24.81884462
2020/01/29,JHARKHAND,GODDA,0,226.43,0,19.86204908
2020/01/29,JHARKHAND,PALAMU,0,577.68,0,25.6768413
2020/01/29,JHARKHAND,RANCHI,0,656.16,0,26.11159892
2020/01/29,JHARKHAND,DEOGHAR,0,226.04,0,18.21761337
2020/01/29,JHARKHAND,PURBI SINGHBHUM,0,395.96,0,21.76927927
2020/01/29,JHARKHAND,SAHIBGANJ,0.34,239.52,2.5,21.44172648
2020/01/29,JHARKHAND,KODARMA,0.04,296.56,0.28,23.15498024
2020/01/29,JHARKHAND,LATEHAR,0.07,551.25,0.48,25.42510878
2020/01/29,JHARKHAND,SARAIKELA-KHARSAWAN,0,334.87,0,24.82804927
2020/01/29,JHARKHAND,BOKARO,0,313.06,0,21.98465256
2020/01/29,JHARKHAND,SIMDEGA,0,483.32,0.01,25.06791835
2020/01/29,JHARKHAND,PAKUR,0.05,337.24,0.5,36.50231957
2020/01/29,JHARKHAND,HAZARIBAGH,0.13,544.96,0.83,29.70956796
2020/01/29,JHARKHAND,GIRIDIH,0,652.15,0.03,25.58289915
2020/01/29,JHARKHAND,KHUNTI,0,390.71,0,28.33519005
2020/01/29,JHARKHAND,GUMLA,0.1,699.98,0.59,25.66092893
2020/01/28,JHARKHAND,JAMTARA,0,149.11,0,16.25663295
2020/01/28,JHARKHAND,DHANBAD,0,177.55,0,16.37145717
2020/01/28,JHARKHAND,DUMKA,0,389.35,0,20.29470806
2020/01/28,JHARKHAND,GARHWA,0.01,465.71,0.07,22.2897713
2020/01/28,JHARKHAND,PASHCHIMI SINGHBHUM,0,1043.69,0,28.38480007
2020/01/28,JHARKHAND,RAMGARH,0,171.49,0,24.88392716
2020/01/28,JHARKHAND,CHATRA,0,467.39,0.01,24.45512142
2020/01/28,JHARKHAND,LOHARDAGA,0.26,199.12,1.53,26.11562362
2020/01/28,JHARKHAND,GODDA,0,228.89,0,20.07768697
2020/01/28,JHARKHAND,PALAMU,0,593.15,0,26.36470199
2020/01/28,JHARKHAND,RANCHI,0,661.29,0,26.31590885
2020/01/28,JHARKHAND,DEOGHAR,0,228.07,0,18.38112113
2020/01/28,JHARKHAND,PURBI SINGHBHUM,0,396.23,0,21.7844261
2020/01/28,JHARKHAND,SAHIBGANJ,0.02,187.92,0.1,16.82234176
2020/01/28,JHARKHAND,KODARMA,0.03,296.34,0.2,23.13798666
2020/01/28,JHARKHAND,LATEHAR,0.19,583.56,1.22,26.91523599
2020/01/28,JHARKHAND,SARAIKELA-KHARSAWAN,0,329.56,0,24.43436399
2020/01/28,JHARKHAND,BOKARO,0,319.14,0,22.41128653
2020/01/28,JHARKHAND,SIMDEGA,0.05,524.91,0.31,27.22508538
2020/01/28,JHARKHAND,PAKUR,0,279.74,0,30.27899362
2020/01/28,JHARKHAND,HAZARIBAGH,0.03,520.05,0.19,28.35138986
2020/01/28,JHARKHAND,GIRIDIH,0.01,660.44,0.05,25.90834895
2020/01/28,JHARKHAND,KHUNTI,0,393.4,0,28.52962982
2020/01/28,JHARKHAND,GUMLA,0.17,724.9,1.02,26.57440711
2020/01/27,JHARKHAND,JAMTARA,0,142.97,0,15.58643118
2020/01/27,JHARKHAND,DHANBAD,0,165.38,0,15.2495995
2020/01/27,JHARKHAND,DUMKA,0,371.78,0,19.37890048
2020/01/27,JHARKHAND,GARHWA,0,435.08,0,20.82362354
2020/01/27,JHARKHAND,PASHCHIMI SINGHBHUM,0,1001.57,0,27.23926317
2020/01/27,JHARKHAND,RAMGARH,0,164.92,0,23.93063952
2020/01/27,JHARKHAND,CHATRA,0,458.69,0.01,23.9997878
2020/01/27,JHARKHAND,LOHARDAGA,0.11,189.7,0.67,24.88000584
