Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2020/01/31,KARNATAKA,CHIKMAGALUR,0,710.06,0,18.70101303
2020/01/31,KARNATAKA,CHITRADURGA,0,802.91,0,18.13031351
2020/01/31,KARNATAKA,MANDYA,0,524.62,0,20.03752142
2020/01/31,KARNATAKA,BELLARY,0,670.24,0,15.22386118
2020/01/31,KARNATAKA,MYSORE,0,757.08,0,22.61750459
2020/01/31,KARNATAKA,CHAMRAJNAGAR,0,632.15,0,20.97963844
2020/01/31,KARNATAKA,SHIMOGA,0,770.25,0,17.39053634
2020/01/31,KARNATAKA,KODAGU,0,482.66,0,22.13918963
2020/01/31,KARNATAKA,TUMKUR,0,1028.79,0,18.41962442
2020/01/31,KARNATAKA,BELGAUM,0,1162.08,0,16.71974312
2020/01/31,KARNATAKA,GADAG,0,376.87,0,15.58903941
2020/01/31,KARNATAKA,RAICHUR,0,547.31,0,12.48280661
2020/01/31,KARNATAKA,UDUPI,0,262.53,0,12.90046962
2020/01/31,KARNATAKA,UTTARA KANNADA,0.01,988.83,0.07,18.57733653
2020/01/31,KARNATAKA,BANGALORE RURAL,0,279.43,0,22.98893918
2020/01/31,KARNATAKA,HASSAN,0,649.36,0,18.05593788
2020/01/31,KARNATAKA,BAGALKOT,0,479.84,0,14.08330016
2020/01/31,KARNATAKA,HAVERI,0,546.2,0,21.73529082
2020/01/31,KARNATAKA,BIJAPUR,0,1028.53,0,18.92263594
2020/01/31,KARNATAKA,DAVANAGERE,0,681.58,0,21.89855702
2020/01/31,KARNATAKA,CHIKKABALLAPURA,0,373.98,0,16.85508751
2020/01/31,KARNATAKA,KOLAR,0,352.76,0,16.78090429
2020/01/31,KARNATAKA,DHARWAD,0,426.5,0,19.15963339
2020/01/31,KARNATAKA,BIDAR,0,585.81,0,20.88997185
2020/01/31,KARNATAKA,RAMANAGARA,0,291.9,0,15.69213529
2020/01/31,KARNATAKA,KOPPAL,0,297.65,0,10.2749738
2020/01/31,KARNATAKA,GULBARGA,0,1286.41,0,22.72302351
2020/01/31,KARNATAKA,BANGALORE,0,195.73,0,16.98217481
2020/01/31,KARNATAKA,YADGIR,0,430.72,0,15.74862232
2020/01/31,KARNATAKA,DAKSHINA KANNADA,0,348.94,0,14.38673871
2020/01/30,KARNATAKA,CHIKMAGALUR,0,711.53,0,18.73992874
2020/01/30,KARNATAKA,CHITRADURGA,0,804.79,0,18.17267819
2020/01/30,KARNATAKA,MANDYA,0,525.36,0,20.06567429
2020/01/30,KARNATAKA,BELLARY,0,672.27,0,15.27003959
2020/01/30,KARNATAKA,MYSORE,0,758.86,0,22.67054401
2020/01/30,KARNATAKA,CHAMRAJNAGAR,0,633.31,0,21.01829837
2020/01/30,KARNATAKA,SHIMOGA,0,771.7,0,17.42311759
2020/01/30,KARNATAKA,KODAGU,0,483.7,0,22.18679131
2020/01/30,KARNATAKA,TUMKUR,0,1031.01,0,18.4592322
2020/01/30,KARNATAKA,BELGAUM,0,1164.92,0,16.76061753
2020/01/30,KARNATAKA,GADAG,0,377.94,0,15.63336212
2020/01/30,KARNATAKA,RAICHUR,0,550,0,12.54424763
2020/01/30,KARNATAKA,UDUPI,0,263.13,0,12.92989659
2020/01/30,KARNATAKA,UTTARA KANNADA,0.01,990.45,0.07,18.60782834
2020/01/30,KARNATAKA,BANGALORE RURAL,0,280.13,0,23.04667973
2020/01/30,KARNATAKA,HASSAN,0,650.78,0,18.09544265
2020/01/30,KARNATAKA,BAGALKOT,0,480.99,0,14.11691543
2020/01/30,KARNATAKA,HAVERI,0,546.93,0,21.76404718
2020/01/30,KARNATAKA,BIJAPUR,0,1031.69,0,18.98068096
2020/01/30,KARNATAKA,DAVANAGERE,0,682.88,0,21.9405385
2020/01/30,KARNATAKA,CHIKKABALLAPURA,0,375.3,0,16.91458338
2020/01/30,KARNATAKA,KOLAR,0,354.06,0,16.84255655
2020/01/30,KARNATAKA,DHARWAD,0,427.84,0,19.22007979
2020/01/30,KARNATAKA,BIDAR,0,587.55,0,20.95193986
2020/01/30,KARNATAKA,RAMANAGARA,0,292.6,0,15.72955523
2020/01/30,KARNATAKA,KOPPAL,0,299.56,0,10.34066141
2020/01/30,KARNATAKA,GULBARGA,0,1289,0,22.76876509
2020/01/30,KARNATAKA,BANGALORE,0,196.35,0,17.03545554
2020/01/30,KARNATAKA,YADGIR,0,432.11,0,15.79936628
2020/01/30,KARNATAKA,DAKSHINA KANNADA,0,349.62,0,14.41471446
2020/01/29,KARNATAKA,CHIKMAGALUR,0,713,0,18.77842398
2020/01/29,KARNATAKA,CHITRADURGA,0,806.88,0,18.21975822
2020/01/29,KARNATAKA,MANDYA,0,526.33,0,20.1028097
2020/01/29,KARNATAKA,BELLARY,0,674.63,0,15.32372758
2020/01/29,KARNATAKA,MYSORE,0,761.13,0,22.73836438
2020/01/29,KARNATAKA,CHAMRAJNAGAR,0,634.87,0,21.07004771
2020/01/29,KARNATAKA,SHIMOGA,0,773.38,0,17.46116694
2020/01/29,KARNATAKA,KODAGU,0,484.56,0,22.22643546
2020/01/29,KARNATAKA,TUMKUR,0,1033.36,0,18.50132846
2020/01/29,KARNATAKA,BELGAUM,0,1167.28,0,16.79460023
2020/01/29,KARNATAKA,GADAG,0,379.06,0,15.67959621
2020/01/29,KARNATAKA,RAICHUR,0,552.77,0,12.60752288
2020/01/29,KARNATAKA,UDUPI,0,263.91,0,12.96831209
2020/01/29,KARNATAKA,UTTARA KANNADA,0.01,992.03,0.07,18.63759159
2020/01/29,KARNATAKA,BANGALORE RURAL,0,280.9,0,23.11001812
2020/01/29,KARNATAKA,HASSAN,0,652.26,0,18.13664442
2020/01/29,KARNATAKA,BAGALKOT,0,482.39,0,14.15808678
2020/01/29,KARNATAKA,HAVERI,0,547.64,0,21.7923179
2020/01/29,KARNATAKA,BIJAPUR,0,1034.95,0,19.04074293
2020/01/29,KARNATAKA,DAVANAGERE,0,684.29,0,21.98576085
2020/01/29,KARNATAKA,CHIKKABALLAPURA,0,376.58,0,16.97250534
2020/01/29,KARNATAKA,KOLAR,0,355.31,0,16.90208812
2020/01/29,KARNATAKA,DHARWAD,0,429.15,0,19.27881707
2020/01/29,KARNATAKA,BIDAR,0,589.25,0,21.01249614
2020/01/29,KARNATAKA,RAMANAGARA,0,293.23,0,15.76334166
2020/01/29,KARNATAKA,KOPPAL,0,301.27,0,10.39990878
2020/01/29,KARNATAKA,GULBARGA,0,1291.6,0,22.81477077
2020/01/29,KARNATAKA,BANGALORE,0,196.96,0,17.08900257
2020/01/29,KARNATAKA,YADGIR,0,433.6,0,15.85405749
2020/01/29,KARNATAKA,DAKSHINA KANNADA,0,350.91,0,14.46789433
2020/01/28,KARNATAKA,CHIKMAGALUR,0,714.84,0,18.82700066
2020/01/28,KARNATAKA,CHITRADURGA,0,809.26,0,18.27358231
2020/01/28,KARNATAKA,MANDYA,0,526.23,0,20.0990633
2020/01/28,KARNATAKA,BELLARY,0,679.68,0,15.43842134
2020/01/28,KARNATAKA,MYSORE,0,757.82,0,22.63940229
2020/01/28,KARNATAKA,CHAMRAJNAGAR,0,635.15,0,21.07911738
2020/01/28,KARNATAKA,SHIMOGA,0,775.07,0,17.49919199
2020/01/28,KARNATAKA,KODAGU,0,484.93,0,22.24322772
2020/01/28,KARNATAKA,TUMKUR,0,1033.61,0,18.5058115
2020/01/28,KARNATAKA,BELGAUM,0,1188.84,0,17.1048414
2020/01/28,KARNATAKA,GADAG,0,384.71,0,15.91328377
2020/01/28,KARNATAKA,RAICHUR,0,562.57,0,12.83083631
2020/01/28,KARNATAKA,UDUPI,0,264.55,0,12.99946023
2020/01/28,KARNATAKA,UTTARA KANNADA,0.01,999.08,0.07,18.76991245
2020/01/28,KARNATAKA,BANGALORE RURAL,0,281.28,0,23.14091327
2020/01/28,KARNATAKA,HASSAN,0,652.71,0,18.14905941
2020/01/28,KARNATAKA,BAGALKOT,0,492.04,0,14.44131661
2020/01/28,KARNATAKA,HAVERI,0,548.34,0,21.82038032
2020/01/28,KARNATAKA,BIJAPUR,0,1047.29,0,19.26768408
2020/01/28,KARNATAKA,DAVANAGERE,0,685.53,0,22.02551151
2020/01/28,KARNATAKA,CHIKKABALLAPURA,0,377.73,0,17.02438978
2020/01/28,KARNATAKA,KOLAR,0,356.58,0,16.9626832
2020/01/28,KARNATAKA,DHARWAD,0,442.98,0,19.90005499
2020/01/28,KARNATAKA,BIDAR,0,590.84,0,21.06916135
2020/01/28,KARNATAKA,RAMANAGARA,0,293.77,0,15.79232524
2020/01/28,KARNATAKA,KOPPAL,0,303.28,0,10.46901168
2020/01/28,KARNATAKA,GULBARGA,0,1294.59,0,22.86744832
2020/01/28,KARNATAKA,BANGALORE,0,197.42,0,17.12818455
2020/01/28,KARNATAKA,YADGIR,0,435.29,0,15.91568777
2020/01/28,KARNATAKA,DAKSHINA KANNADA,0,351.69,0,14.50028424
2020/01/27,KARNATAKA,CHIKMAGALUR,0,715.36,0,18.84061964
2020/01/27,KARNATAKA,CHITRADURGA,0,810.77,0,18.3078015
2020/01/27,KARNATAKA,MANDYA,0,526.96,0,20.12688995
2020/01/27,KARNATAKA,BELLARY,0,678.89,0,15.4204711
2020/01/27,KARNATAKA,MYSORE,0,759.53,0,22.69067709
2020/01/27,KARNATAKA,CHAMRAJNAGAR,0,636.52,0,21.12459245
2020/01/27,KARNATAKA,SHIMOGA,0,776.37,0,17.52875331
2020/01/27,KARNATAKA,KODAGU,0,485.89,0,22.28723842
2020/01/27,KARNATAKA,TUMKUR,0,1035.86,0,18.54619641
2020/01/27,KARNATAKA,BELGAUM,0,1172.71,0,16.87278147
2020/01/27,KARNATAKA,GADAG,0,381.16,0,15.76631639
2020/01/27,KARNATAKA,RAICHUR,0,558.14,0,12.72998393
2020/01/27,KARNATAKA,UDUPI,0,265.2,0,13.0313047
2020/01/27,KARNATAKA,UTTARA KANNADA,0.01,995.14,0.07,18.69600595
2020/01/27,KARNATAKA,BANGALORE RURAL,0,282.01,0,23.20108253
2020/01/27,KARNATAKA,HASSAN,0,653.95,0,18.18352496
2020/01/27,KARNATAKA,BAGALKOT,0,484.89,0,14.23139959
2020/01/27,KARNATAKA,HAVERI,0,549.15,0,21.85243772
2020/01/27,KARNATAKA,BIJAPUR,0,1041.29,0,19.15744325
2020/01/27,KARNATAKA,DAVANAGERE,0,686.38,0,22.05275078
2020/01/27,KARNATAKA,CHIKKABALLAPURA,0,379.22,0,17.09167343
2020/01/27,KARNATAKA,KOLAR,0,357.85,0,17.0230788
2020/01/27,KARNATAKA,DHARWAD,0,431.53,0,19.38587438
2020/01/27,KARNATAKA,BIDAR,0,592.56,0,21.13076111
2020/01/27,KARNATAKA,RAMANAGARA,0,294.45,0,15.8291655
