Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2020/01/31,KERALA,THIRUVANANTHAPURAM,0,187.45,0,15.74951105
2020/01/31,KERALA,ALAPPUZHA,0,145.02,0.01,18.82258273
2020/01/31,KERALA,PATHANAMTHITTA,0,345.62,0,24.07559174
2020/01/31,KERALA,ERNAKULAM,0.01,232.21,0.15,17.85871753
2020/01/31,KERALA,KANNUR,0,313.51,0,20.00936425
2020/01/31,KERALA,MALAPPURAM,0.01,370.61,0.08,19.43901783
2020/01/31,KERALA,KOLLAM,0,200.87,0,14.83471176
2020/01/31,KERALA,PALAKKAD,0,467.53,0,19.42802447
2020/01/31,KERALA,KASARAGOD,0,193.33,0,18.57632494
2020/01/31,KERALA,THRISSUR,0.01,304.59,0.04,18.71984367
2020/01/31,KERALA,IDUKKI,0,848.01,0,31.35399917
2020/01/31,KERALA,KOZHIKODE,0,223.67,0,17.98439331
2020/01/31,KERALA,KOTTAYAM,0.02,336.27,0.28,28.10299994
2020/01/31,KERALA,WAYANAD,0,257.2,0,22.67610912
2020/01/30,KERALA,THIRUVANANTHAPURAM,0,189.03,0,15.88286124
2020/01/30,KERALA,ALAPPUZHA,0,147.28,0.01,19.11602144
2020/01/30,KERALA,PATHANAMTHITTA,0,347.62,0,24.21490755
2020/01/30,KERALA,ERNAKULAM,0.01,235.45,0.17,18.10813055
2020/01/30,KERALA,KANNUR,0,314.47,0,20.07075416
2020/01/30,KERALA,MALAPPURAM,0.01,373.19,0.08,19.57428115
2020/01/30,KERALA,KOLLAM,0,201.91,0,14.91161144
2020/01/30,KERALA,PALAKKAD,0,469.99,0,19.53018219
2020/01/30,KERALA,KASARAGOD,0,194.01,0,18.64168526
2020/01/30,KERALA,THRISSUR,0.01,306.33,0.04,18.82688951
2020/01/30,KERALA,IDUKKI,0,856.42,0,31.66526371
2020/01/30,KERALA,KOZHIKODE,0,224.45,0,18.04665268
2020/01/30,KERALA,KOTTAYAM,0.02,341.47,0.35,28.53771595
2020/01/30,KERALA,WAYANAD,0,258.16,0,22.76088753
2020/01/29,KERALA,THIRUVANANTHAPURAM,0,190.78,0,16.02966723
2020/01/29,KERALA,ALAPPUZHA,0,149.73,0.02,19.43346862
2020/01/29,KERALA,PATHANAMTHITTA,0,349.49,0,24.34462796
2020/01/29,KERALA,ERNAKULAM,0.01,238.78,0.2,18.36404665
