Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2020/01/31,UTTAR PRADESH,FARRUKHABAD,0.05,189.08,0.23,16.9302378
2020/01/31,UTTAR PRADESH,LUCKNOW,0.45,298.77,3.26,23.04695686
2020/01/31,UTTAR PRADESH,KHERI,0.08,920.21,0.74,23.31381845
2020/01/31,UTTAR PRADESH,CHANDAULI,0,216.22,0,16.75827482
2020/01/31,UTTAR PRADESH,AMBEDKAR NAGAR,0,236.05,0,19.98165423
2020/01/31,UTTAR PRADESH,BUDAUN,0.15,468.87,1.48,18.03615139
2020/01/31,UTTAR PRADESH,BALRAMPUR,0.08,386.3,0.81,22.73486614
2020/01/31,UTTAR PRADESH,BASTI,0.01,296.1,0.06,20.1168057
2020/01/31,UTTAR PRADESH,RAMPUR,0.12,361.64,1,27.40851364
2020/01/31,UTTAR PRADESH,MIRZAPUR,0.02,500.08,0.23,21.75349112
2020/01/31,UTTAR PRADESH,JYOTIBA PHULE NAGAR,0.26,245.86,2.65,21.08998096
2020/01/31,UTTAR PRADESH,LALITPUR,0.02,468.92,0.11,18.236906
2020/01/31,UTTAR PRADESH,MAHAMAYA NAGAR,0,219.23,0,24.24360096
2020/01/31,UTTAR PRADESH,MATHURA,0,255.49,0,14.89698802
2020/01/31,UTTAR PRADESH,MAHOBA,0,298.02,0,20.36476408
2020/01/31,UTTAR PRADESH,CHITRAKOOT,0.01,242.87,0.04,15.46584338
2020/01/31,UTTAR PRADESH,SAHARANPUR,0.07,465.76,0.69,24.28404427
2020/01/31,UTTAR PRADESH,KANNAUJ,0.53,238.02,4.21,22.46334689
2020/01/31,UTTAR PRADESH,SANT KABIR NAGAR,0,175.08,0,21.44816509
2020/01/31,UTTAR PRADESH,SONBHADRA,0.32,870.41,1.86,25.20101429
2020/01/31,UTTAR PRADESH,FATEHPUR,0.01,285.3,0.13,13.40305346
2020/01/31,UTTAR PRADESH,BARA BANKI,0.01,458.18,0.05,23.65614222
2020/01/31,UTTAR PRADESH,AZAMGARH,0,298.06,0,13.68628551
2020/01/31,UTTAR PRADESH,BAGHPAT,0,142.13,0.02,20.83676639
2020/01/31,UTTAR PRADESH,ALIGARH,0.03,417.41,0.25,21.78865503
2020/01/31,UTTAR PRADESH,HARDOI,0.06,638.44,0.48,20.78568023
2020/01/31,UTTAR PRADESH,RAE BARELI,0.03,412.17,0.26,17.49692393
2020/01/31,UTTAR PRADESH,GHAZIPUR,0,203.29,0,11.79302322
2020/01/31,UTTAR PRADESH,KAUSHAMBI,0,150.38,0,14.54250106
2020/01/31,UTTAR PRADESH,BULANDSHAHR,0.01,390.06,0.09,21.3869995
2020/01/31,UTTAR PRADESH,DEORIA,0,284.32,0,21.8180285
2020/01/31,UTTAR PRADESH,BAHRAICH,0.18,475.97,1.58,21.51098924
2020/01/31,UTTAR PRADESH,GORAKHPUR,0.07,368.99,0.48,21.50305617
