district,mean_pH_estimate,pH_category
Agra,8.31,slightly alkaline
Aligarh,8.47,slightly alkaline
Ambedkar Nagar,7.81,slightly alkaline
Amethi,7.59,slightly alkaline
Amroha,7.77,slightly alkaline
Auraiya,7.68,slightly alkaline
Ayodhya,7.91,slightly alkaline
Azamgarh,7.55,slightly alkaline
Budaun,7.86,slightly alkaline
Baghpat,7.67,slightly alkaline
Bahraich,7.74,slightly alkaline
Ballia,7.52,slightly alkaline
Balrampur,7.97,slightly alkaline
Banda,8.37,slightly alkaline
Barabanki,7.84,slightly alkaline
Bareilly,7.65,slightly alkaline
Basti,7.92,slightly alkaline
Bhadohi,7.82,slightly alkaline
Bijnor,7.59,slightly alkaline
Bulandshahr,7.88,slightly alkaline
Chandauli,7.54,slightly alkaline
Chitrakoot,7.76,slightly alkaline
Deoria,6.71,neutral
Etah,8.22,slightly alkaline
Etawah,7.93,slightly alkaline
Farrukhabad,7.73,slightly alkaline
Fatehpur,7.74,slightly alkaline
Firozabad,8.08,slightly alkaline
Gautam Buddha Nagar,7.94,slightly alkaline
Ghaziabad,7.63,slightly alkaline
Ghazipur,7.77,slightly alkaline
Gonda,7.78,slightly alkaline
Gorakhpur,6.76,neutral
Hamirpur,8.19,slightly alkaline
Hapur,7.91,slightly alkaline
Hardoi,7.83,slightly alkaline
Hathras,8.12,slightly alkaline
Jalaun,8.27,slightly alkaline
Jaunpur,7.58,slightly alkaline
Jhansi,7.99,slightly alkaline
Kannauj,7.74,slightly alkaline
Kanpur Dehat,7.88,slightly alkaline
Kanpur Nagar,7.69,slightly alkaline
Kasganj,7.78,slightly alkaline
Kaushambi,7.73,slightly alkaline
Kushinagar,6.91,neutral
Lakhimpur Kheri,7.74,slightly alkaline
Lalitpur,8.19,slightly alkaline
Lucknow,7.79,slightly alkaline
Maharajganj,6.92,neutral
Mahoba,7.94,slightly alkaline
Mainpuri,8.26,slightly alkaline
Mathura,8.21,slightly alkaline
Mau,7.81,slightly alkaline
Meerut,7.75,slightly alkaline
Mirzapur,7.61,slightly alkaline
Moradabad,7.88,slightly alkaline
Muzaffarnagar,7.82,slightly alkaline
Pilibhit,7.66,slightly alkaline
Pratapgarh,7.41,neutral
Prayagraj,7.72,slightly alkaline
Rae Bareli,7.66,slightly alkaline
Rampur,7.91,slightly alkaline
Saharanpur,7.68,slightly alkaline
Sant Kabir Nagar,7.85,slightly alkaline
Sambhal,7.72,slightly alkaline
Shahjahanpur,7.73,slightly alkaline
Shamli,7.92,slightly alkaline
Shravasti,7.73,slightly alkaline
Siddharthnagar,6.95,neutral
Sitapur,7.74,slightly alkaline
Sonbhadra,7.63,slightly alkaline
Sultanpur,7.81,slightly alkaline
Unnao,7.72,slightly alkaline
Varanasi,7.44,neutral
